State,State license required,Record keeping and retention,"Report records to the state, and state retains records",Mandatory theft reporting of all firearms,At least 1 store security precaution required,Inspections by police allowed,One handgun per month,"One handgun per month, 1 or more exceptions",All Firearms,Handguns Only,Ballistic fingerprinting,Require microstamping on semi-auto handguns,Mandatory reporting by firearm owners,Curb Firearm Trafficking (35 points),All firearms,Handguns only,Closed Gun Show Loophole (checks on all gun show sales),Background checks on long guns at gun shows,All firearms,Safety training/testing required,License to Possess,Extend three-day limit for background checks,Permit required for ammunition purchases,Fingerprinting required,Permit process involves law enforcement,Ammunition Purchaser Records Kept/Vendor License Req,STRENGTHEN BRADY BACKGROUND CHECKS (40 Points),One feature test,Two feature test,Two feature test on assault pistols only,Ten rounds or less,Fifteen rounds or less,BAN ASSAULT WEAPONS (10 Points),Integrated locks sold on all handguns (Childrpoof),External locks sold with all handguns,Standards on all external locks,Ages 16/17 and under,Ages 14/15 and under,CHILD SAFETY (7 Points),Employers not forced to allow firearms in parking lots,Colleges are not forced to allow firearms on campus,Law enforcement discretion when issuing CCW permits,Local control of firearm regulations(2)/Partial (1),GUNS IN PUBLIC PLACES AND LOCAL CONTROL (8 Points)                                      ,Disarm Prohibited Handgun Possesors  (2 points),Gag Rule on Doctors (-2 points) ,No Permit Required for CCW  (-2 points),Abbrev,Total
AL,2/2,2/2,2/2,0/2,2/2,0/2,0/5,0/3,0/5,0/4,0/5,0/5,0/3,8/35,0/17,0/10,0/7,0/5,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/2,0/40,0/5,0/3,0/1,0/5,0/3,0/10,0/5,0/3,0/1,0/2,0/1,0/7,2/2,2/2,2/2,0/2,6/8,0,0,0,AL,14
AK,0/2,0/2,0/2,0/2,0/2,0/2,0/5,0/3,0/5,0/4,0/5,0/5,0/3,0/35,0/17,0/10,0/7,0/5,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/2,0/40,0/5,0/3,0/1,0/5,0/3,0/10,0/5,0/3,0/1,0/2,0/1,0/7,0/2,2/2,0/2,0/2,2/8,0,0,-2,AK,0
AZ,0/2,0/2,0/2,0/2,0/2,0/2,0/5,0/3,0/5,0/4,0/5,0/5,0/3,0/35,0/17,0/10,0/7,0/5,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/2,0/40,0/5,0/3,0/1,0/5,0/3,0/10,0/5,0/3,0/1,0/2,0/1,0/7,0/2,2/2,0/2,0/2,2/8,0,0,-2,AZ,0
AR,0/2,0/2,0/2,0/2,0/2,0/2,0/5,0/3,0/5,0/4,0/5,0/5,0/3,0/35,0/17,0/10,0/7,0/5,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/2,0/40,0/5,0/3,0/1,0/5,0/3,0/10,0/5,0/3,0/1,0/2,0/1,0/7,2/2,2/2,0/2,0/2,4/8,0,0,0,AR,4
CA,2/2,2/2,2/2,2/2,2/2,2/2,5/5,0/3,5/5,0/4,0/5,5/5,0/3,27/35,17/17,0/10,0/7,0/5,0/3,3/3,0/3,3/3,0/3,3/3,0/3,2/2,28/40,5/5,0/3,0/1,5/5,0/3,10/10,0/5,3/3,1/1,2/2,0/1,6/7,2/2,2/2,2/2,2/2,8/8,2,0,0,CA,81
CO,0/2,2/2,0/2,0/2,0/2,2/2,0/5,0/3,0/5,0/4,0/5,0/5,0/3,4/35,0/17,0/10,7/7,0/5,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/2,7/40,0/5,0/3,0/1,0/5,0/3,0/10,0/5,0/3,0/1,0/2,0/1,0/7,2/2,2/2,0/2,0/2,4/8,0,0,0,CO,15
CT,2/2,2/2,2/2,0/2,2/2,2/2,0/5,0/3,0/5,0/4,0/5,0/5,3/3,13/35,0/17,10/10,0/7,5/5,0/3,3/3,3/3,3/3,0/3,3/3,3/3,0/2,30/40,0/5,3/3,0/1,0/5,0/3,3/10,0/5,3/3,0/1,0/2,1/1,4/7,2/2,2/2,2/2,2/2,8/8,0,0,0,CT,58
DE,2/2,2/2,0/2,0/2,0/2,2/2,0/5,0/3,0/5,0/4,0/5,0/5,0/3,6/35,0/17,0/10,0/7,0/5,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/2,0/40,0/5,0/3,0/1,0/5,0/3,0/10,0/5,0/3,0/1,0/2,1/1,1/7,2/2,2/2,2/2,0/2,6/8,0,0,0,DE,13
FL,0/2,0/2,0/2,0/2,0/2,0/2,0/5,0/3,0/5,0/4,0/5,0/5,0/3,0/35,0/17,0/10,0/7,0/5,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/2,0/40,0/5,0/3,0/1,0/5,0/3,0/10,0/5,0/3,0/1,2/2,0/1,2/7,0/2,2/2,0/2,1/2,3/8,0,-2,0,FL,3
GA,2/2,2/2,0/2,0/2,0/2,2/2,0/5,0/3,0/5,0/4,0/5,0/5,0/3,6/35,0/17,0/10,0/7,0/5,0/3,0/3,0/3,0/3,0/3,0/3,0/3,0/2,0/40,0/5,0/3,0/1,0/5,0/3,0/10,0/5,0/3,0/1,0/2,0/1,0/7,0/2,2/2,0/2,0/2,2/8,0,0,0,GA,8
