State,Curb_Firearm_Trafficking,Strengthen_Brady,Assault_Weapons,Child_Safety,Public_Places,Total,Total2
AL,8/35,0/40,0/10,0/7,6/8,14      ,14/100
AK,0/35,0/40,0/10,0/7,2/8,0      ,0/100
AZ,0/35,0/40,0/10,0/7,2/8,0      ,0/100
AR,0/35,0/40,0/10,0/7,4/8,4      ,4/100
CA,27/35,28/40,10/10,6/7,8/8,81      ,81/100
CO,4/35,7/40,0/10,0/7,4/8,15      ,15/100
CT,13/35,30/40,3/10,4/7,8/8,58      ,58/100
DE,6/35,0/40,0/10,1/7,6/8,13      ,13/100
FL,0/35,0/40,0/10,2/7,3/8,3      ,3/100
GA,6/35,0/40,0/10,0/7,2/8,8      ,8/100
HI,9/35,25/40,6/10,2/7,8/8,50      ,50/100
ID,0/35,0/40,0/10,0/7,2/8,2      ,2/100
IL,4/35,19/40,0/10,4/7,8/8,35      ,35/100
IN,2/35,0/40,0/10,0/7,2/8,4      ,4/100
IA,0/35,3/40,0/10,0/7,4/8,7      ,7/100
KS,0/35,0/40,0/10,2/7,2/8,4      ,4/100
KY,0/35,0/40,0/10,0/7,2/8,2      ,2/100
LA,0/35,0/40,0/10,0/7,2/8,2      ,2/100
ME,4/35,0/40,0/10,1/7,2/8,7      ,7/100
MD,16/35,15/40,1/10,7/7,6/8,45      ,45/100
MA,20/35,23/40,8/10,6/7,8/8,65      ,65/100
MI,9/35,9/40,0/10,3/7,4/8,25      ,25/100
MN,4/35,6/40,0/10,2/7,2/8,14      ,14/100
MS,4/35,0/40,0/10,0/7,0/8,4      ,4/100
MO,0/35,0/40,0/10,0/7,4/8,4      ,4/100
MT,0/35,0/40,0/10,0/7,2/8,2      ,2/100
NE,0/35,0/40,0/10,0/7,5/8,5      ,5/100
NV,0/35,0/40,0/10,1/7,4/8,5      ,5/100
NH,2/35,0/40,0/10,0/7,4/8,6      ,6/100
NJ,24/35,25/40,8/10,7/7,8/8,72      ,72/100
NM,0/35,0/40,0/10,0/7,4/8,4      ,4/100
NY,20/35,22/40,8/10,4/7,8/8,62      ,62/100
NC,4/35,6/40,0/10,2/7,4/8,16      ,16/100
ND,0/35,0/40,0/10,0/7,2/8,2      ,2/100
OH,3/35,0/40,0/10,0/7,4/8,7      ,7/100
OK,0/35,0/40,0/10,0/7,2/8,2      ,2/100
OR,6/35,7/40,0/10,0/7,2/8,15      ,15/100
PA,8/35,10/40,0/10,3/7,5/8,26      ,26/100
RI,11/35,23/40,0/10,4/7,6/8,44      ,44/100
SC,4/35,0/40,0/10,0/7,4/8,8      ,8/100
SD,0/35,0/40,0/10,0/7,4/8,4      ,4/100
TN,4/35,0/40,0/10,0/7,4/8,8      ,8/100
TX,0/35,0/40,0/10,2/7,2/8,4      ,4/100
UT,0/35,0/40,0/10,0/7,0/8,0      ,0/100
VT,4/35,0/40,0/10,0/7,4/8,6      ,6/100
VA,7/35,0/40,0/10,1/7,4/8,12      ,12/100
WA,6/35,5/40,0/10,0/7,4/8,15      ,15/100
WV,0/35,0/40,0/10,0/7,4/8,4      ,4/100
WI,2/35,0/40,0/10,0/7,1/8,3      ,3/100
WY,4/35,0/40,0/10,0/7,2/8,4      ,4/100
