Field,Data Item,Data Type,Definition,Examples
Title,Field,Text,"The title of the incident, given by the data collector. The title generally includes the name of the place where the incident occurred and other descriptive information related to the incident. ",
Location,Field,Text,"The city and state names where the incident occurred.  In cases where only a village or town name is given, please record all the administrative boundary names (village, county, state)","Essex, Chittenden County, Vermont"
City,Variable,Text,"Location related variable.  In cases where only a village or town name is given, please record the closest city to the village or town.",
State,Variable,Text,Location related variable,
City,Field,Text,"The full name of the city where the incident occurred. In cases where only a village or town name is given, please record the closest city to the village or town.",Redwood City
State,Field,Text,The full name of the state where the incident occurred.,California
Number of Civilian Fatalities,Field,Number,Number of people killed by the shooter(s) by gunshot (excluding law enforcement personnel).,16
Number of Civilian Injured,Field,Number,Number of persons injured by gunshot by the shooter(s) during the incident (excluding law enforcement personnel).,0
Number of Enforcement Fatalaties,Field,Number,Number of law enforcement personnel killed by the shooter(s) by gunshot.,
Number of Enforcement Injured,Field,Number,Number of law enforcement personnel injured by gunshot by the shooter(s) during the incident.,
Total Number of Victims,Field,Number,"Total number of people killed or injured during the incident, not including the shooter(s).",
Total Number of Fatalities,Field,Number,"Total number of people killed during the incident, including the shooter(s) when applicable.  This number includes the shooter(s) if he/she was killed or committed suicide during the incident.",17
Description,Field,Text,"A brief, detail description of the incident. Write the description in your own words. Please do not copy paste text from any source. DO NOT INCLUDE THE NAME OF THE SHOOTER.",
Date,Field,Number,The date of the first day the incident occurred.  In cases where there are multiple days involved please input the date of the first day the incident occurred.,MM/DD/YYYY
Date - Detailed,Field,Text,"The date, including day of the week, when the incident occurred.","Friday, December 14, 2012"
Day of Week,Field,Text,The day of the week on which the incident occurred.,Friday
Shooter Name,Field,Text,"The full name of the shooter(s); first, middle and last name. Note: Never display the name of the shooter on any visual public interface. Do not place the name in the description field.",Mark James Robert Essex
Number of shooters, Field, Number, Number of shooter perpetrators involved in the incident,
Shooter Age(s),Field,Number,Shooter(s) age at the time of the incident.  In cases where there are multiple shooters involved please select the AVERAGE NUMBER between the ages.,25
Average Shooter Age,Field,Number,Average age of all shooters involved in the incident,
Shooter Sex,Field,Text,The sex of the shooter(s).,Male
